# HELIOS Phase 0 roll log
# [discovery] total .csv.zst scanned:                 2659
# [discovery] calendar spreads excluded (dash-syms):  2408
# [discovery] outright contracts processed:           206
# [discovery]   NQ:   12  ES:   12  ZN:   11  ZB:   11
# [discovery]   GC:   42  SI:   42  6E:   33  CL:   43
# [discovery] MNQ outrights in bundle (unused):       0
# [discovery] non-cross-asset symbols seen:           0
# [discovery] outrights outside bundle window (excluded): 45
# [discovery] unexpected patterns (45):
# [discovery]   - 6EF5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EF6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EG5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EG6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EJ5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EJ6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EK4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EK5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EK6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EN4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EN5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EN6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EQ4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EQ5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EV4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EV5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EX4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - 6EX5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIF5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIF6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIF7 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIG5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIG6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIG7 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIJ4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIJ5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIJ6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIJ7 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIK4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIK5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIK6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIK7 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIN4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIN5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIN6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIN7 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIQ4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIQ5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIQ6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIV4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIV5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIV6 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIX4 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIX5 — serial monthly on nominally-quarterly family (included)
# [discovery]   - SIX6 — serial monthly on nominally-quarterly family (included)
instrument,t_roll,from_contract,to_contract,gap_points,gap_pct,n_prior_bars_adjusted
NQ,2024-06-18 23:59:00+00:00,NQM4,NQU4,-275.25,-1.3617,54930
NQ,2024-09-17 23:59:00+00:00,NQU4,NQZ4,-234.25,-1.1921,143648
NQ,2024-12-18 23:59:00+00:00,NQZ4,NQH5,-291.0,-1.3092,234195
NQ,2025-03-19 23:59:00+00:00,NQH5,NQM5,-204.5,-1.0242,320029
NQ,2025-06-17 23:59:00+00:00,NQM5,NQU5,-225.5,-1.0225,406715
NQ,2025-09-16 23:59:00+00:00,NQU5,NQZ5,-242.0,-0.9872,495456
NQ,2025-12-16 23:59:00+00:00,NQZ5,NQH6,-243.0,-0.961,583973
NQ,2026-03-17 23:59:00+00:00,NQH6,NQM6,-217.5,-0.8701,670231
ES,2024-06-17 23:59:00+00:00,ESM4,ESU4,-66.0,-1.1941,53523
ES,2024-09-17 23:59:00+00:00,ESU4,ESZ4,-61.25,-1.0702,143582
ES,2024-12-17 23:59:00+00:00,ESZ4,ESH5,-74.25,-1.2132,232721
ES,2025-03-18 23:59:00+00:00,ESH5,ESM5,-51.25,-0.903,318555
ES,2025-06-17 23:59:00+00:00,ESM5,ESU5,-53.5,-0.8804,406633
ES,2025-09-16 23:59:00+00:00,ESU5,ESZ5,-57.25,-0.8587,495361
ES,2025-12-16 23:59:00+00:00,ESZ5,ESH6,-55.75,-0.8138,583877
ES,2026-03-17 23:59:00+00:00,ESH6,ESM6,-51.0,-0.7535,670169
ZN,2024-05-30 23:52:00+00:00,ZNM4,ZNU4,-0.3125,-0.2889,33782
ZN,2024-08-29 23:53:00+00:00,ZNU4,ZNZ4,-0.5469,-0.4803,117205
ZN,2024-11-27 23:56:00+00:00,ZNZ4,ZNH5,-0.1719,-0.1551,200288
ZN,2025-02-27 23:59:00+00:00,ZNH5,ZNM5,-0.0312,-0.0283,281162
ZN,2025-05-29 23:58:00+00:00,ZNM5,ZNU5,-0.0312,-0.0283,364656
ZN,2025-08-28 23:59:00+00:00,ZNU5,ZNZ5,-0.0469,-0.0417,445741
ZN,2025-11-26 23:54:00+00:00,ZNZ5,ZNH6,0.0625,0.0551,525568
ZN,2026-02-26 23:50:00+00:00,ZNH6,ZNM6,0.0625,0.0551,603995
ZB,2024-05-30 23:36:00+00:00,ZBM4,ZBU4,-0.0938,-0.0815,30505
ZB,2024-08-29 23:56:00+00:00,ZBU4,ZBZ4,-0.1875,-0.1516,107071
ZB,2024-11-28 23:35:00+00:00,ZBZ4,ZBH5,-0.1875,-0.158,183944
ZB,2025-02-27 23:54:00+00:00,ZBH5,ZBM5,0.25,0.2128,256832
ZB,2025-05-29 23:58:00+00:00,ZBM5,ZBU5,0.375,0.3327,334876
ZB,2025-08-28 23:58:00+00:00,ZBU5,ZBZ5,0.375,0.3271,408156
ZB,2025-11-26 23:57:00+00:00,ZBZ5,ZBH6,0.4062,0.3458,478940
ZB,2026-02-26 23:56:00+00:00,ZBH6,ZBM6,0.4062,0.3449,548378
GC,2024-05-30 23:21:00+00:00,GCM4,GCQ4,-23.2,-0.9855,36399
GC,2024-07-30 23:56:00+00:00,GCQ4,GCZ4,-47.9,-1.9702,94573
GC,2024-11-28 23:52:00+00:00,GCZ4,GCG5,-24.3,-0.9127,212812
GC,2025-01-30 23:12:00+00:00,GCG5,GCJ5,-23.0,-0.8099,270991
GC,2025-03-28 20:55:00+00:00,GCJ5,GCM5,-29.2,-0.94,326927
GC,2025-05-29 23:40:00+00:00,GCM5,GCQ5,-26.7,-0.8098,385570
